tgos_id,company_id,company_name,store_name,store_address,store_status,store_create_date,store_update_date,longitude,latitude
1032,16740494,全聯實業股份有限公司,車城中山分公司,屏東縣車城鄉田中村中山路95、95-1號,1,1140502,1140707,120.715297,22.083022
1033,16740494,全聯實業股份有限公司,信義虎林分公司,臺北市信義區四育里松隆路280號地下一層,1,1140407,1141029,121.575273,25.048375
1034,16740494,全聯實業股份有限公司,花蓮明智分公司,花蓮縣花蓮市國魂里明智街13號1樓,1,1140407,1140902,121.602889,23.9842
1035,16740494,全聯實業股份有限公司,蘇澳蘇濱分公司,宜蘭縣蘇澳鎮頂寮里蘇濱路三段148號1樓,1,1140407,1140808,121.834939,24.641494
1036,16740494,全聯實業股份有限公司,烏日公園分公司,臺中市烏日區烏日里公園路52號,1,1140407,1141009,120.627152,24.102052
1037,16740494,全聯實業股份有限公司,湖口明德分公司,新竹縣湖口鄉信勢村明德街66號1樓,1,1140407,       ,121.041807,24.905322
1038,16740494,全聯實業股份有限公司,布袋大智分公司,嘉義縣布袋鎮光復里大智街32、36號,1,1140407,       ,120.164947,23.377927
1039,16740494,全聯實業股份有限公司,太平樹德分公司,臺中市太平區新高里樹德路117號1樓,1,0880825,1120626,120.711934,24.154171
1040,16740494,全聯實業股份有限公司,台東平等分公司,臺東縣臺東市平等街11號,1,0880930,1070615,121.156976,22.752414
1043,16740494,全聯實業股份有限公司,台北縣新莊分公司,新北市新莊區中和街188號地下1樓,1,0881204,1080507,121.447569,25.050004
1044,16740494,全聯實業股份有限公司,南投埔里分公司,南投縣埔里鎮中山路3段376號1樓,1,0881204,1060531,120.955337,23.9696
1045,16740494,全聯實業股份有限公司,內湖分公司,臺北市內湖區舊宗路一段128號1、2、3樓,1,0881217,1140721,121.57832,25.060963
1046,16740494,全聯實業股份有限公司,屏東民族分公司,屏東縣屏東市民族路202號1樓,1,0881218,1080708,120.48083,22.67127
1047,16740494,全聯實業股份有限公司,恆春環城南分公司,屏東縣恆春鎮山腳里環城南路40、42號,1,0881218,1091103,120.751123,22.003706
1048,16740494,全聯實業股份有限公司,台南分公司,臺南市北區臨安路二段310號地下1樓及地上1、2樓,1,0890125,1140721,120.202977,23.004794
1049,16740494,全聯實業股份有限公司,中和分公司,新北市中和區景平路182號地下1樓,1,0890310,1140721,121.516453,24.992377
1051,16740494,全聯實業股份有限公司,文山木新分公司,臺北市文山區恆光街37、39、41、43號1樓,1,0890515,1121013,121.567386,24.981742
1056,16740494,全聯實業股份有限公司,彰化員林分公司,彰化縣員林市三民東街３５９號１樓,1,0890801,0911112,120.58261,23.960906
1058,16740494,全聯實業股份有限公司,潮州延平分公司,屏東縣潮州鎮三共里延平路156號1樓,1,0890801,1140108,120.540447,22.555416
1060,16740494,全聯實業股份有限公司,台中大里分公司,臺中市大里區東榮路8號1樓,1,0890908,1041215,120.689339,24.110199
1061,16740494,全聯實業股份有限公司,南投草屯分公司,南投縣草屯鎮信義街368號1樓,1,0890908,1040423,120.679888,23.982977
1063,16740494,全聯實業股份有限公司,西螺光復分公司,雲林縣西螺鎮光復西路１１７號,1,0891013,1110905,120.461372,23.796769
1064,16740494,全聯實業股份有限公司,前鎮崗山西分公司,高雄市前鎮區崗山西街206號1樓、2樓,1,0891013,1141210,120.327946,22.603843
1065,16740494,全聯實業股份有限公司,新店分公司,新北市新店區環河路22號地下1樓及22號地下1樓之1,1,0891101,1141107,121.537246,24.961963
1067,16740494,全聯實業股份有限公司,苗栗竹南分公司,苗栗縣竹南鎮大營路175之1號1樓,1,0891214,1040417,120.872651,24.686858
1070,16740494,全聯實業股份有限公司,宜蘭礁溪分公司,宜蘭縣礁溪鄉６結村育才路1號1樓,1,0910109,1000321,121.770353,24.820879
1071,16740494,全聯實業股份有限公司,台南佳里店分公司,臺南市佳里區民安里同安寮80之2號,1,0910117,1140721,120.195688,23.166172
1073,16740494,全聯實業股份有限公司,東勢東蘭分公司,臺中市東勢區東蘭路54-2號,1,0900104,1141209,120.824665,24.266693
1075,16740494,全聯實業股份有限公司,北港華勝分公司,雲林縣北港鎮華勝路171號,1,0900130,1130704,120.297869,23.577325
1077,16740494,全聯實業股份有限公司,屏東勝利分公司,屏東縣屏東市勝利東路41號1樓,1,0900216,1090713,120.499287,22.676707
1079,16740494,全聯實業股份有限公司,清水中興分公司,臺中市清水區中興街５７號１樓,1,0900314,1100309,120.574725,24.27191
1080,16740494,全聯實業股份有限公司,民雄復興分公司,嘉義縣民雄鄉西安村復興路226號1樓,1,0900319,1120605,120.426641,23.558907
1081,16740494,全聯實業股份有限公司,台中逢甲分公司,臺中市西屯區黎明路３段２４６號１樓,1,0900413,1000524,120.637753,24.179696
1082,16740494,全聯實業股份有限公司,彰化彰安分公司,彰化縣彰化市中正路2段828號1樓,1,0900427,1110620,120.534876,24.064886
1083,16740494,全聯實業股份有限公司,彰化溪湖分公司,彰化縣溪湖鎮大發路56號1樓,1,0900427,0951005,120.476253,23.963484
1084,16740494,全聯實業股份有限公司,台中國光分公司,臺中市大里區國光路2段70號1樓,1,0900510,1070314,120.682227,24.102058
1085,16740494,全聯實業股份有限公司,台南東安分公司,臺南市東區東明里東安路20號1樓,1,0900510,1130109,120.226307,22.99147
1087,16740494,全聯實業股份有限公司,台南民治分公司,臺南市新營區民治路5-1號1樓,1,0900529,1060523,120.320874,23.310841
1088,16740494,全聯實業股份有限公司,斗六西平分公司,雲林縣斗六市西平路248號,1,0900604,1120602,120.535481,23.712133
1089,16740494,全聯實業股份有限公司,小港宏平分公司,高雄市小港區宏平路152號1樓,1,0900604,1120407,120.361692,22.570366
1090,16740494,全聯實業股份有限公司,台中后里分公司,臺中市后里區甲后路587號1樓,1,0900618,1090309,120.71818,24.309453
1093,16740494,全聯實業股份有限公司,南投南陽分公司,南投縣南投市南陽路452號1樓,1,0900713,1110311,120.681535,23.912929
1097,16740494,全聯實業股份有限公司,萬華中華分公司,臺北市萬華區中華路2段666-12號地下1樓,1,0900821,1100707,121.511419,25.024182
1098,16740494,全聯實業股份有限公司,彰化三民分公司,彰化縣彰化市陽明里三民路430號1樓,1,0900830,1130604,120.548519,24.086565
1099,16740494,全聯實業股份有限公司,大直北安分公司,臺北市中山區北安路588巷8、10號1樓,1,0900830,1080109,121.551174,25.080928
